crop,valid_season,soil_requirement,ph_text,temp_text,rain_text,organic_carbon_text,humidity_text,source,ph_min,ph_max,temp_min,temp_max,rain_min,rain_max
Pea,Rabi,Well-drained Loam,6.5 - 7.5,13 - 18,400 - 500mm,0.98%,Moderate-High,Project Crop Recommendation.docx table 9,6.5,7.5,13.0,18.0,400.0,500.0
Pigeon Pea,June – July,Deep Loamy/Black,6.5 – 7.5,18 – 35,600 – 1000,Medium,60 – 70%,Project Crop Recommendation.docx table 10,6.5,7.5,18.0,35.0,600.0,1000.0
Pomegranate,Perennial,Medium deep loamy,6.5 – 7.5,25 – 35°C (Dev.); matures at 38°C,500 – 800 mm,>1.0% (Ideal),Low,Project Crop Recommendation.docx table 12,6.5,7.5,25.0,35.0,500.0,800.0
Pomegranate,Perennial,Sandy Loam,6.5-8.0,35-38,Irrigated,Not found,Low,Project Crop Recommendation.docx table 14,6.5,8.0,35.0,38.0,,
Pomegranate,Perennial,Sandy Loam,6.5 - 8.5,25∘C to 35∘C,500 - 1000 mm,< 0.5% (Low),Low,Project Crop Recommendation.docx table 15,6.5,8.5,25.0,35.0,500.0,1000.0
Pomegranate,Perennial,Well-drained sandy loam,6.5 – 7.5 (Tolerates 8.5),35 – 38 (Fruit dev.),500 – 600 (Irrigated),Low (Requires FYM),Low (Favored),Project Crop Recommendation.docx table 17,6.5,7.5,35.0,38.0,,
Pomegranate,Perennial,Loamy,6.5 - 8.5,15 - 40,500 - 700 mm,Medium,40 - 60%,Project Crop Recommendation.docx table 18,6.5,8.5,15.0,40.0,500.0,700.0
Pomegranate,Perennial,Deep Loamy / Humus rich,6.5 - 7.5 (Tolerates 8.5),35 - 38 (Ripening),< 1000mm,High requirement (Added FYM),Low; dry ripening critical,Project Crop Recommendation.docx table 24,6.5,7.5,35.0,38.0,,1000.0
Pomegranate,Perennial,Light Sandy loam,6.5 - 8.5,20 - 40,< 560,Low,Low,Project Crop Recommendation.docx table 26,6.5,8.5,20.0,40.0,,560.0
Pomegranate,Perennial,Deep Sandy to Loamy Sand,7.5 - 8.5,20 - 45,250 - 500,Low (Improves with litter),Low,Project Crop Recommendation.docx table 28,7.5,8.5,20.0,45.0,250.0,500.0
Pomegranate,Perennial,Sandy Loam (Shallow),6.5 – 8.5,15 – 46,500 – 700,Low (0.37 – 0.40%),Low (Ripening),Project Crop Recommendation.docx table 29,6.5,8.5,15.0,46.0,500.0,700.0
Pomegranate,Perennial,Well-drained Sandy Loam,6.5 – 8.5,10°C – 40°C,500 – 600 mm,0.35% – 0.60%,Low to Moderate,Project Crop Recommendation.docx table 3,6.5,8.5,10.0,40.0,500.0,600.0
Pomegranate,Perennial,Deep Loam,6.5 - 7.5 (Tol. 8.5),35 - 38 (Fruit Dev),500 - 1000,High (Humus),Low,Project Crop Recommendation.docx table 30,6.5,7.5,35.0,38.0,500.0,1000.0
Pomegranate,Perennial,Sandy Loam,6.5–7.5,35–38,1000 mm,> 1.0%,Low,Project Crop Recommendation.docx table 33,6.5,7.5,35.0,38.0,1000.0,1000.0
Pomegranate,Perennial,Light Soil,6.5 - 8.5 (Tolerant),35 - 38 (Fruit Dev),< 560,Poor to Medium,Low preferred,Project Crop Recommendation.docx table 34,6.5,8.5,35.0,38.0,,560.0
Pomegranate,Perennial,Sandy Loam / Black Soil,6.5−7.5,Up to 48,500−1000 mm,>1.0% (Ideal),Low,Project Crop Recommendation.docx table 7,6.5,7.5,48.0,48.0,500.0,1000.0
Pomegranate,Rabi,Sandy Loam,6.5−8.5,38−48,500−1000,>1.0% (Ideal),Low,Project Crop Recommendation.docx table 6,6.5,8.5,38.0,48.0,500.0,1000.0
Potato,Rabi,Sandy Loam to Loam,5.5 - 7.0,15 - 25,400 - 500 (Irrigated),0.40 - 0.60,60 - 80,Project Crop Recommendation.docx table 13,5.5,7.0,15.0,25.0,,
Potato,Rabi,Loamy to Sandy Loam,5.2 - 6.4,"18 - 24 (Veg), 15 - 20 (Tuber)",500 - 800 (Irrigated),Not found,60 - 80,Project Crop Recommendation.docx table 20,5.2,6.4,18.0,24.0,,
Rice,Kharif,Salty Loam,7.5–8.5,22–31,500–600mm,0.24%,High,Project Crop Recommendation.docx table 23,7.5,8.5,22.0,31.0,500.0,600.0
Safed Musli,Kharif,Sandy Loam/Red Soil,6.5 – 8.5,15 – 35,500 – 1500,High (Drainage Key),Warm & Humid,Project Crop Recommendation.docx table 10,6.5,8.5,15.0,35.0,500.0,1500.0
Safed Musli,Kharif,Sandy Loam to Loam,6.5 - 8.5,15 - 35,500 - 1500,High Organic Matter,Warm and Humid,Project Crop Recommendation.docx table 16,6.5,8.5,15.0,35.0,500.0,1500.0
Safed Musli,Kharif,Loamy / Sandy Loam,6.5−8.5,15−35,500−1500 mm,High (Rich),Warm & Humid,Project Crop Recommendation.docx table 2,6.5,8.5,15.0,35.0,500.0,1500.0
Senna,Rabi,Sandy loam to Red loam,7.0 – 8.5,Warm and Humid/Dry,300 – 400 (Rainfed),Very Low,Medium,Project Crop Recommendation.docx table 17,7.0,8.5,,,300.0,400.0
Sesame,Kharif,Well-drained light loamy,5.5 – 8.0,25 – 35°C (Ideal); Blast if >40°C,450 – 500 mm,Low (0.05 – 0.2%),Moderate to Low,Project Crop Recommendation.docx table 12,5.5,8.0,25.0,,450.0,500.0
Sesame,Kharif,Light Loam,5.5-8.0,25-35,450-600,Not found,Low to Mod,Project Crop Recommendation.docx table 14,5.5,8.0,25.0,35.0,450.0,600.0
Sesame,Kharif,Sandy Loam to Loam,6.5 - 8.0,25 - 30,450 - 600,Not found,40 - 60,Project Crop Recommendation.docx table 20,6.5,8.0,25.0,30.0,450.0,600.0
Sesame,Kharif,Light Sandy,5.5 - 8.0,25 - 35,500 - 650 mm,Low,Low; drought tolerant,Project Crop Recommendation.docx table 24,5.5,8.0,25.0,35.0,500.0,650.0
Sesame,Kharif,Well-drained Loamy,5.5 - 7.5 (Avoids saline),25 - 35 (Heat sensitive),450 - 650,Low to Medium,45% - 65%,Project Crop Recommendation.docx table 27,5.5,7.5,25.0,35.0,450.0,650.0
Sesame,Kharif,Well-drained Loamy,7.0 – 8.0,25 – 35,400 – 600,Low (<0.50%),40 – 60,Project Crop Recommendation.docx table 29,7.0,8.0,25.0,35.0,400.0,600.0
Sesame,Kharif,Well-drained Loam,Neutral,25 - 35,450 - 650,"""Not found""",Low (Ripening),Project Crop Recommendation.docx table 30,,,25.0,35.0,450.0,650.0
Sesame,Kharif,Well-drained Loam,6.0 – 7.5,25 – 35,450 – 750,Low to Medium,Not found,Project Crop Recommendation.docx table 31,6.0,7.5,25.0,35.0,450.0,750.0
Sesame,Kharif,Sandy Loam,5.5 - 7.5,25 - 35,450 - 600,Low-Med (0.2-0.4),45 - 55,Project Crop Recommendation.docx table 8,5.5,7.5,25.0,35.0,450.0,600.0
Snap Melon,Zaid,Sandy,7.0 - 8.5,25∘C to 42∘C,250 - 400 mm,< 0.3% (Low),Low,Project Crop Recommendation.docx table 15,7.0,8.5,25.0,42.0,250.0,400.0
Soybean,Kharif,Heavy Black Clay,7.0 - 7.5,15 - 35,750 - 1250,Medium / Residue Mgmt,,Project Crop Recommendation.docx table 1,7.0,7.5,15.0,35.0,750.0,1250.0
Soybean,Kharif,Well-drained Loamy,6.5 – 7.5,20 – 35,600 – 700,Medium,60 – 75%,Project Crop Recommendation.docx table 10,6.5,7.5,20.0,35.0,600.0,700.0
Soybean,Kharif,Heavy Clay (Vertisol),6.0–7.5,20–30 (Optimum),600–900,Low to Medium,High (Monsoon),Project Crop Recommendation.docx table 11,6.0,7.5,20.0,30.0,600.0,900.0
Soybean,Kharif,Sandy Loam to Clayey,6.0 - 6.8,20 - 30,600 - 1000,Rich (Target >0.75),High during growth,Project Crop Recommendation.docx table 16,6.0,6.8,20.0,30.0,600.0,1000.0
Soybean,Kharif,Sandy clay loam to Medium red loamy,7.0 - 8.3 (Actual),15 - 35 (Broad),575 - 1250 (Total),Low (0.47 g kg^{-1}),60 - 85 (High),Project Crop Recommendation.docx table 22,7.0,8.3,15.0,35.0,575.0,1250.0
Soybean,Kharif,Well-drnd Loam,6.0 - 7.5,15 - 32,400 - 500,0.5 - 0.75,70 - 90,Project Crop Recommendation.docx table 25,6.0,7.5,15.0,32.0,400.0,500.0
Soybean,Kharif,Black Clayey / Vertisols,6.0 – 7.5,22 – 38,~900,Medium,Not found,Project Crop Recommendation.docx table 31,6.0,7.5,22.0,38.0,900.0,900.0
Strawberry,Rabi,Lt. Well-drained,5.5 - 6.5,15 - 25,Protected,Not Found,Controlled,Project Crop Recommendation.docx table 25,5.5,6.5,15.0,25.0,,
Sugarcane,Zaid,Alluvial Loam,7.5 - 8.5,20 - 35,1200+ (Irrigated),Low to Medium,Moderate to High,Project Crop Recommendation.docx table 34,7.5,8.5,20.0,35.0,,
Taramira,Rabi,Sandy Loam / Light,7.0 – 8.5,15 – 25,100 – 250,0.22 (Current),Low,Project Crop Recommendation.docx table 32,7.0,8.5,15.0,25.0,100.0,250.0
Taramira,Rabi,Sandy to Sandy Loam,7.5 - 8.5,15 - 25,200 - 300,Not Found (Low),Low,Project Crop Recommendation.docx table 34,7.5,8.5,15.0,25.0,200.0,300.0
Tomato,June-July/Oct-Nov,Sandy Loam to Clay,7.0 – 8.5,10 – 25,400 – 600,High,60 – 70%,Project Crop Recommendation.docx table 10,7.0,8.5,10.0,25.0,400.0,600.0
Tomato,Rabi,Clay Loamy to Sandy Loam,6.0 - 8.3,20 - 30,400 - 600 (Irrigated),0.40 - 0.50,60 - 75,Project Crop Recommendation.docx table 13,6.0,8.3,20.0,30.0,,
Tomato,Rabi,Sandy Loam / Loam,6.0 - 7.0,21 - 29,600 - 700 mm,High,60 - 85%,Project Crop Recommendation.docx table 18,6.0,7.0,21.0,29.0,600.0,700.0
Tomato,Rabi,Well-drained Sandy/Red Loam,6.0 - 7.0,21 - 24 (Optimal Color),600 - 900,Not found,60 - 75,Project Crop Recommendation.docx table 20,6.0,7.0,21.0,24.0,600.0,900.0
Tomato,Rabi,Sandy loam,8.3 (Alkaline),11 - 46 (Broad),729 (Annual Avg),0.47 g kg^{-1}(Low),60 - 80 (Moderate),Project Crop Recommendation.docx table 22,7.800000000000001,8.8,11.0,46.0,729.0,729.0
Tomato,Rabi,Well-drained Sandy Loam,6.0 - 7.0 (Ideal),18 - 27,400 - 600mm,High (responsive to organic matter),Low to Moderate,Project Crop Recommendation.docx table 24,6.0,7.0,18.0,27.0,400.0,600.0
Tomato,Rabi,"Deep, well-drained Sandy Loam",6.0 - 7.0,18- 27(Frost injury at 0,600 - 800(Irrigated),High (Requires heavy manuring),50% - 70%,Project Crop Recommendation.docx table 27,6.0,7.0,18.0,27.0,,
Tomato,Rabi,Sandy Loam,5.5 – 7.5,15 – 34,400 – 600,Rich in Organic Matter,50 – 70,Project Crop Recommendation.docx table 29,5.5,7.5,15.0,34.0,400.0,600.0
Tomato,Rabi,Sandy/Red Loam,6.0 - 7.0,21 - 24,Low to Medium,High,Low,Project Crop Recommendation.docx table 30,6.0,7.0,21.0,24.0,,
Tomato,Rabi,Well-drained Loam,6.0 – 7.5,18 – 30,Not found,~3% (High),60 – 80,Project Crop Recommendation.docx table 31,6.0,7.5,18.0,30.0,,
Tomato,Rabi,Sandy Loam,6.0 - 7.0,21 - 24,Low-Medium,> 0.14,35 - 65%,Project Crop Recommendation.docx table 35,6.0,7.0,21.0,24.0,,
Tomato,Rabi,Sandy Loam,6.0−7.0,18−30,600−800 mm,Not found,Not found,Project Crop Recommendation.docx table 5,6.0,7.0,18.0,30.0,600.0,800.0
Tomato,Rabi,Loamy/Red,7.0 - 8.5,10 - 25,400 - 600,High (0.7-1.0),60 - 70,Project Crop Recommendation.docx table 8,7.0,8.5,10.0,25.0,400.0,600.0
Tomato,Rabi,Sandy Loam,6.0 - 7.5,21 (Avg),600 - 1000mm,Not found,Low-Moderate,Project Crop Recommendation.docx table 9,6.0,7.5,21.0,21.0,600.0,1000.0
Tomato,Zaid,Sandy Loam,6.0–7.0,18–24,400–600 mm,High,50–70%,Project Crop Recommendation.docx table 33,6.0,7.0,18.0,24.0,400.0,600.0
Turmeric,Kharif,Well-drained Sandy loam,4.5 - 7.5 (Ideal) / 8.3 (Actual),20 - 35 (Growth),1500+ (Irrigated/Rainfed),Good Organic Status (Ideal),High (Monsoon),Project Crop Recommendation.docx table 22,4.5,7.5,20.0,35.0,,
Wheat,Rabi,Loamy Alluvial,6.5 - 7.5,10 (Sowing); 20-28 (Harvest),250 - 750,0.30 - 0.50,50 - 60,Project Crop Recommendation.docx table 13,6.5,7.5,10.0,20.0,250.0,750.0
Wheat,Rabi,Sandy Loam / Loam,6.5 - 8.0,15 - 30,515 - 570 mm,0.5 - 0.6%,30 - 55%,Project Crop Recommendation.docx table 18,6.5,8.0,15.0,30.0,515.0,570.0
Wheat,Rabi,Loam to Clay Loam,6.5 - 8.0,22 - 23 (Sowing),600 - 800 (Irrigated),0.4 - 0.5,50 - 60,Project Crop Recommendation.docx table 20,6.5,8.0,22.0,23.0,,
Wheat,Rabi,Medium brown loamy to Clayey loam,7.0 - 8.3 (Actual),10 - 28 (Sowing to Harvest),~500 (Irrigated),Low (0.47 g kg^{-1}),40 - 60 (Low),Project Crop Recommendation.docx table 22,7.0,8.3,10.0,28.0,,
Wheat,Rabi,Loam,7.5–9.2,14–25,600–900mm,0.24–0.31%,Dry,Project Crop Recommendation.docx table 23,7.5,9.2,14.0,25.0,600.0,900.0
Wheat,Rabi,Clay / Clay Loam,6.0 - 8.5,10 - 30,781 (Ann.),0.5 - 0.75,30 - 60,Project Crop Recommendation.docx table 25,6.0,8.5,10.0,30.0,781.0,781.0
